,id,event_id,type_id,period_id,min,sec,team_id,outcome,x,y,timestamp,date,time,last_modified
39,1204502482,19,7,1,1,23,11,1,26.6,28.8,2015-01-13T19:46:53.405,2015-01-13,19:46:53,2015-01-13T19:46:55
40,711591059,20,49,1,1,25,11,1,20.6,21.9,2015-01-13T19:46:54.877,2015-01-13,19:46:54,2015-01-13T19:46:55
41,1089804192,21,1,1,1,29,11,1,30.1,36.3,2015-01-13T19:46:58.764,2015-01-13,19:46:58,2015-01-13T19:47:01
42,817039399,22,1,1,1,31,11,1,20.9,57.9,2015-01-13T19:47:01.517,2015-01-13,19:47:01,2015-01-13T19:47:08
43,355535295,23,61,1,1,35,11,0,73.6,82.9,2015-01-13T19:47:05.53,2015-01-13,19:47:05,2015-01-13T19:47:05
44,889696967,22,52,1,1,37,21,1,9.2,27.4,2015-01-13T19:47:06.848,2015-01-13,19:47:06,2015-01-13T19:47:07
45,1926646011,23,1,1,1,38,21,1,9.2,27.4,2015-01-13T19:47:07.728,2015-01-13,19:47:07,2015-01-13T19:47:12
46,263993548,24,1,1,1,43,21,1,29.4,89.0,2015-01-13T19:47:13.114,2015-01-13,19:47:13,2015-01-13T19:47:14
47,191868948,25,1,1,1,44,21,1,21.7,75.7,2015-01-13T19:47:14.222,2015-01-13,19:47:14,2015-01-13T19:47:15
48,1726573819,26,1,1,1,45,21,1,25.4,67.2,2015-01-13T19:47:15.312,2015-01-13,19:47:15,2015-01-13T19:47:17
49,351296621,27,1,1,1,47,21,0,12.2,61.2,2015-01-13T19:47:16.901,2015-01-13,19:47:16,2015-01-13T19:47:18
50,831501466,24,5,1,1,49,11,1,86.9,-1.5,2015-01-13T19:47:18.552,2015-01-13,19:47:18,2015-01-13T19:47:44
51,1436602819,28,5,1,1,49,21,0,13.1,101.5,2015-01-13T19:47:18.736,2015-01-13,19:47:18,2015-01-13T19:47:30
52,1157104407,25,1,1,2,0,11,1,88.5,0.0,2015-01-13T19:47:29.758,2015-01-13,19:47:29,2015-01-13T19:47:31
53,782534877,26,1,1,2,1,11,1,64.7,7.3,2015-01-13T19:47:31.421,2015-01-13,19:47:31,2015-01-13T19:47:34
54,1734202541,27,1,1,2,4,11,1,80.8,4.4,2015-01-13T19:47:34.412,2015-01-13,19:47:34,2015-01-13T19:47:35
55,588453183,28,1,1,2,6,11,1,82.9,10.6,2015-01-13T19:47:35.581,2015-01-13,19:47:35,2015-01-13T19:53:44
56,1302493870,29,1,1,2,7,11,1,78.7,2.5,2015-01-13T19:47:37.181,2015-01-13,19:47:37,2015-01-13T19:47:39
57,1432132176,30,1,1,2,9,11,1,82.7,10.0,2015-01-13T19:47:39.405,2015-01-13,19:47:39,2015-01-13T19:47:40
58,1194373774,31,1,1,2,11,11,1,72.3,20.3,2015-01-13T19:47:40.733,2015-01-13,19:47:40,2015-01-13T19:47:42
59,1706068572,32,1,1,2,13,11,1,82.9,13.2,2015-01-13T19:47:42.829,2015-01-13,19:47:42,2015-01-13T19:47:48
60,1963339041,33,3,1,2,18,11,0,94.1,16.4,2015-01-13T19:47:48.499,2015-01-13,19:47:48,2015-01-13T19:47:50
61,641206157,29,7,1,2,18,21,0,5.9,83.6,2015-01-13T19:47:48.509,2015-01-13,19:47:48,2015-01-13T19:47:50
62,311170458,34,1,1,2,21,11,1,93.0,9.1,2015-01-13T19:47:51.516,2015-01-13,19:47:51,2015-01-13T19:47:54
63,1899139251,35,1,1,2,24,11,0,78.6,10.6,2015-01-13T19:47:54.429,2015-01-13,19:47:54,2015-01-13T19:48:46
64,1096185850,31,74,1,2,24,21,1,22.2,78.3,2015-01-13T19:47:54.439,2015-01-13,19:47:54,2015-01-14T10:54:45
65,1112168789,36,1,1,2,28,11,1,78.3,15.2,2015-01-13T19:47:58.445,2015-01-13,19:47:58,2015-01-13T19:47:59
66,771115901,37,1,1,2,30,11,1,85.6,3.8,2015-01-13T19:47:59.901,2015-01-13,19:47:59,2015-01-13T19:48:03
67,375984204,38,3,1,2,33,11,0,92.9,10.1,2015-01-13T19:48:03.485,2015-01-13,19:48:03,2015-01-13T19:48:04
68,524342171,30,5,1,2,35,21,1,-0.8,88.4,2015-01-13T19:48:04.665,2015-01-13,19:48:04,2015-01-13T19:48:05
69,1523791884,39,5,1,2,35,11,0,100.8,11.6,2015-01-13T19:48:05.5,2015-01-13,19:48:05,2015-01-13T19:48:05
70,1600638679,32,1,1,2,57,21,0,5.5,59.3,2015-01-13T19:48:27.526,2015-01-13,19:48:27,2015-01-13T19:49:04
71,1236251677,40,12,1,3,2,11,1,36.1,41.0,2015-01-13T19:48:32.45,2015-01-13,19:48:32,2015-01-13T19:48:32
72,1519788176,33,1,1,3,4,21,1,35.3,41.6,2015-01-13T19:48:34.113,2015-01-13,19:48:34,2015-01-13T19:48:36
73,1049249813,34,43,1,3,6,21,1,0.0,0.0,2015-01-13T19:48:36.282,2015-01-13,19:48:36,2015-01-14T08:59:50
74,1615803593,35,3,1,3,8,21,1,35.7,48.2,2015-01-13T19:48:37.903,2015-01-13,19:48:37,2015-01-13T19:48:40
75,1442679247,41,45,1,3,8,11,0,64.3,51.8,2015-01-13T19:48:37.903,2015-01-13,19:48:37,2015-01-13T19:48:40
76,663110542,36,1,1,3,10,21,0,44.2,47.9,2015-01-13T19:48:40.152,2015-01-13,19:48:40,2015-01-13T19:48:41
77,1527410472,42,8,1,3,12,11,1,30.1,63.6,2015-01-13T19:48:42.205,2015-01-13,19:48:42,2015-01-13T19:48:42
78,1680763065,43,49,1,3,13,11,1,41.2,58.2,2015-01-13T19:48:43.294,2015-01-13,19:48:43,2015-01-13T19:48:43
79,1121747795,44,1,1,3,14,11,1,41.2,58.2,2015-01-13T19:48:43.552,2015-01-13,19:48:43,2015-01-14T09:00:00
80,118952022,45,1,1,3,15,11,1,52.9,73.5,2015-01-13T19:48:45.325,2015-01-13,19:48:45,2015-01-13T19:48:46
81,940790866,46,1,1,3,16,11,0,67.5,72.1,2015-01-13T19:48:46.445,2015-01-13,19:48:46,2015-01-13T19:48:49
82,720813635,37,1,1,3,18,21,1,33.7,41.5,2015-01-13T19:48:47.759,2015-01-13,19:48:47,2015-01-13T19:48:49
83,266289149,38,49,1,3,19,21,1,37.0,59.0,2015-01-13T19:48:49.493,2015-01-13,19:48:49,2015-01-13T19:48:49
